13,تلمسان,,Rue Derrar abderahmane à côté de la station d'essence de Sidi said,,0778174862,https://maps.app.goo.gl/cYvUxxKqES1kuDaJ7,,,rsd
14,تيارت,,طريق جاميعة عند كاتريام (شرطة) مقابل سوبيرات اليسر تيارت,,0659588000,https://maps.app.goo.gl/WXbNNLT4frkzxr7S8,,,expedia 
15,تيزي وزو ,,Rue frère beggaze n ville a côté dylia market,,0540546483 / 0541753315,https://goo.gl/maps/h3ovmF4mfZwxjix1A,,,swift
16-A,الجزائر العاصمة (عين النعجة),,ain naadja ,,05 63000991,https'//maps.app.goo.gl/99RDCNEjBAToLqTF6,,,packers
16-B,الجزائر العاصمة (شراقة),,الشراقة قرب la cnep,,05 63000992,https://maps.app.goo.gl/52hZivMd9Q2oMAZP7,,,packers
17,الجلفة,,"Algérie telecome bilombrage, Trigue li radi boutrifiss",,0660 62 72 89,"https://maps.app.goo.gl/S1kY6qU1MKbUmEKHA?g_st=aw
",,,expediachrono
18,جيجل,,Lontissment cheriguene N 44  jijel مقابل التكنة العسكرية,,0794926743,https://maps.app.goo.gl/9YpusezggYmhbNik7,,,manimed 
19-A,سطيف,,حي الهضاب قرب الجامعة. سطيف ,,0770250354,https://maps.app.goo.gl/1SD9xAVAy7kJCXJu6,,,packers
19-B,سطيف (العلمة),,مكتب باكرز  العلمة حي ضحوة سالم عدل 2000 مسكن ,,0556578559,https://maps.app.goo.gl/ZrwJQ6S7toAtTmig8,,,noest
20,سعيدة,,"Saide centre ville, deriere cinema El Fath",,0673817167,https://maps.app.goo.gl/RCmuAkPKBgRG7Pc59?g_st=ac,,,swift
21,سكيكدة ,,حي 500 مسكن بجانب مركز البريد 8 ماي سكيكدة ,,0660331143,https://maps.app.goo.gl/48Xq2jbBj9ffaqD28,,,packers
22,سيدي بلعباس ,,حي بن حمودة بجانب مسجد خالد ابن الوليد . سيدي الجيلالي. سيدي بلعباس,,0784790178 / 0541893522,https://maps.app.goo.gl/ZAVTAkjsEYoy5fCx6?g_st=ac,,,expedia
23,عنابة,,Cité 5 juillet 62 les hongrois près de la polyclinique et de la mosquée,,0550086166,https://maps.app.goo.gl/muVoB6v5LVue3hu88?g_st=ic,,,jo express 
24,قالمة,,حي محطة الحافلات (la gare ) اسفل قاعة الحفلات معاوي بجانب محل بيع لوازم الصيادة قالمة,,07 75041207,https://maps.app.goo.gl/HKhqWwFKQ5wfYQaT7,,,noest
25,قسنطينة,,Ali mendjli UV 02 bat demberi près au yes mal( en face lechâteau d’eau),,0775168505 / 0770960115,https://maps.app.goo.gl/nNZyXqaqW2gJHWaP8,,,cirta
26,المدية,,طريق كابيندا مقابل معهد التكوين المهني,,05 63000994,https://g.co/kgs/RC6MZ43,,,packers
27,مستغانم,,Chamouma à coté de matériels médicaux et de la salle de sport en face la résidence universitaire filles 2200.                                              (شمومة مقابل الاقامة الجامعية هواري بومدين للبنات ،بجانب قاعة الرياضة و محل المنتجات الطبية).     ,,0797170097,https://maps.app.goo.gl/muckSAHTrs2W7g7W8,,,taki
28,المسيلة ,,حي الشيخ مقراني بجانب عيادة القلعة المسيلة,,0660 02 59 41,https://maps.app.goo.gl/ktuwwFganUX4ZW2P6,,,packers
29,معسكر,,"العنوان بجانب المحكمة الجديدة فوق مطعم بن حواء 
رقم الهاتف ",,0672340677,https://maps.app.goo.gl/xxT9mvqQgPX59UtZA,,,البريد السريع
30,ورقلة,,"حي النصر (الخفجي )
خلف البلدية ورقلة",,0655386012,https://maps.app.goo.gl/wxemrt7i2AVKxnpWA?g_st=aw,,,expedia 
31,وهران(بير الجبر),,بير الجير,,0773148152/0659 61 54 60,https'//goo.gl/maps/CStcvHFXjqbRW4n69,,,pdex
32,البيض,,حي السعادة مقابل مسجد دار الصوف و حمام حليس,,0673444871/0673278291,https://maps.app.goo.gl/6JwcJi9q9u5ES2oA6?g_st=aw,,,noest
33,اليزي,,just a cote de l'APC en face veterinaire de centre ville - illizi ,,06-76-08-60-25,https://maps.app.goo.gl/r3Cbw4MnPwEV1oQA6,,,dhd
34,برج بوعريريج ,,ساحة الوئام 12 شارغ موسى الدراجي لقواس الطريق المؤدي الى المركز الصحي و مسجد الشيخ البشير الابراهيمي  05  جويلية برج بوعريريج,,0560 07 04 14,https://maps.app.goo.gl/VUs8wsyez6a58uyB9,,,packers
35,بومرداس,,cooperative 11 December boumerdess center,,0 563 00 09 96,https://maps.app.goo.gl/xxgwUkqomz59Ceyd8,,,packers
36,الطارف,,City center ( centre commerciale zaydi 1er étage N°10 )wilaya etEl taref,,0550522421-0550523464,https://maps.app.goo.gl/h1d4bQ1fDQ45wV2E9,,,noest 
37,تندوف,,محل رقم 2 حي القصابي قسم 23 رقم 122 بلدية تندوف,,"06-70-08-13-07
06-70-05-80-70",https://maps.app.goo.gl/SJxqEu3ryX8dsJdK6,,,dhd
38,تسمسيلت,,بجانب البنك التنمية و مركز البريد الوئام,,0770186120,https://maps.app.goo.gl/Fjamg9cdS1Y5emHV9,,,expedia 
39,الوادي,, طريق 19مارس  المؤدي إلى متوسطة محمود شريفي والسجل التجاري (طريق المحكمة)مقابل غميمة للدهانات 1  ,,0557 12 65 42,https://maps.app.goo.gl/PNCMNWtG7V5T49vZ8?g_st=ac,,,packers
40,خنشلة,,حي السعادة قرب مسجد خديجة ام المؤمنين ,,0 770957960,https://maps.app.goo.gl/ha5uz4pj8TfmMU6z5?g_st=afm,,,cirta
41,سوق اهراس,,فيال دغمان فوق   مسجد األمان,,0675565680,https://maps.app.goo.gl/FLjmRgdp7ru3f1618?g_st=ac,,,noest
42,تيبازة,,Cité 1700 logs aadl tipaza,,05 63000995,https://maps.app.goo.gl/g5LswiaL3KKo7hJ38,,,packers 
43,ميلة,,حي بو المرقة بجانب مديرية التجارة ميلة,,0770 42 81 80 /0770107556,https://maps.app.goo.gl/qiNNom3oeFjgsJSk9,,,milev express
44,عين الدفلى,,حي ناجم محمد ليسكادرو مقابل وحدة مياه عين الدفلى,,0770012849,https://maps.app.goo.gl/vEJFz9VaCrW2zQMW7?g_st=ac,,,expedia 
45,النعامة,,حديقة فلسطين المشرية النعامة ,,660018177,https://maps.app.goo.gl/3wez4vheRMRsHeHTA?g_st=ac,,,noest
46,عين تموشنت,,Cité tounsi route du tribunal ain temouchent,,0552377638,https://maps.app.goo.gl/uxgfxDTsVRuxj1Wr8,,,pdex 
47,غرداية,,حي سيدي عباز خلف صيدلية قمبار,,0541085363,https://maps.app.goo.gl/6JwcJi9q9u5ES2oA6?g_st=aw,,,kd express 
48,غليزان,,"Cité berrezagua (village brali) derriére la poste , la ligne laboratoire benderdouche",,0552 42 28 12,https://maps.app.goo.gl/otpHg5uFaKhdAVYH6,,,hkg
49,تميمون,,"cité MAHDJOUB N° de la porte 16 , Timimoun en face le stade et SAA ",,0555518628,https://maps.app.goo.gl/9M2pEWAjDHAaUrKF8,,,noest
51,اولاد جلال,,ابجانب سونلغاز ولاد جلال ، اتجاه الدكتورة بدري زوجة حمريط,,0770 64 23 52,https://maps.app.goo.gl/FEDatZ46h7ai3gM36?g_st=iw,,,Bureau mdz Ouled Djalal
52,بني عباس ,,مقابل المجلس الشعبي الولائي,,0561906728,https://goo.gl/maps/rCxc9J3jwhSotbuB6,,,noest
53,عين صالح,,"Près de la Direction des travaux publics, en face de l'entrée du radar d'Algérie Télécom",,0560362803,https://maps.app.goo.gl/E8boeiuC6jKRZr3f9,,,noest
55,تقرت,,Cite sidi abdeslam (pres de la banque BEA) TOUGOURT,,0697138992,https://maps.app.goo.gl/UeBKfzQtAcxVyDXp8,,,noest 
58,المنيعة,,8F24HVMH+2P,,0770602445/0799971710,https://goo.gl/maps/s95jkrBq2eQfQFnZA,,,swift
